subjectid,color,shape,rt,accuracy
100,Yellow,Circle,740000,Correct
100,Blue,Circle,543000,Correct
100,Yellow,Circle,661000,Correct
100,Red,Square,582000,Correct
100,Blue,Square,451000,Correct
100,Yellow,Circle,604000,Correct
100,Red,Square,575000,Correct
100,Blue,Square,473000,Correct
100,Red,Square,532000,Correct
100,Yellow,Circle,648000,Correct
100,Red,Circle,450000,Correct
100,Red,Circle,474000,Correct
100,Red,Square,570000,Correct
100,Green,Circle,704000,Correct
100,Yellow,Square,702000,Correct
100,Blue,Square,416000,Correct
100,Red,Square,376000,Correct
100,Red,Square,440000,Correct
100,Red,Square,482000,Correct
100,Blue,Square,539000,Correct
100,Blue,Circle,541000,Correct
100,Yellow,Circle,816000,Correct
100,Blue,Square,532000,Correct
100,Green,Square,507000,Correct
100,Yellow,Circle,602000,Correct
100,Green,Square,542000,Correct
100,Green,Square,545000,Correct
100,Yellow,Circle,817000,Correct
100,Blue,Circle,670000,Correct
100,Yellow,Circle,783000,Correct
100,Blue,Square,451000,Correct
100,Green,Circle,562000,Correct
100,Blue,Square,459000,Correct
100,Green,Square,568000,Correct
100,Red,Square,314000,Correct
